sensor_id,ts,soil_moisture,temperature,humidity,rainfall,irrigation_needed
sensor_1,2025-12-02T22:06:23.271911,31.595570147675893,22.5,32.8,0.5,False
sensor_2,2025-12-02T22:06:24.240994,42.28264750688215,33.2,32.2,0.0,True
sensor_3,2025-12-02T22:06:25.125967,42.76754519641101,29.5,57.5,0.0,True
sensor_1,2025-12-02T22:06:26.036775,38.58907331486398,23.5,77.9,1.35,False
sensor_2,2025-12-02T22:06:27.427143,44.85952765480911,27.2,83.5,0.71,True
sensor_3,2025-12-02T22:06:28.625989,41.29320947165374,19.7,73.1,0.48,False
sensor_1,2025-12-02T22:06:29.433203,39.174195525733616,23.2,82.8,0.08,True
sensor_2,2025-12-02T22:06:30.355169,51.79971559289111,25.2,72.3,0.87,False
sensor_3,2025-12-02T22:06:30.941720,47.12142355127084,22.4,68.6,0.0,True
sensor_1,2025-12-02T22:06:31.498300,38.04786830764712,24.6,70.4,0.3,False
sensor_2,2025-12-02T22:06:32.846141,62.34831311881223,26.6,83.4,0.89,False
sensor_3,2025-12-02T22:06:33.691099,29.61390995228428,24.2,55.3,0.1,False
sensor_1,2025-12-02T22:06:34.912129,38.19882722322183,27.9,42.7,0.25,False
sensor_2,2025-12-02T22:06:36.090191,34.77900052611205,22.2,49.3,0.3,False
sensor_3,2025-12-02T22:06:37.560076,39.10875829848851,28.1,41.7,0.0,True
sensor_1,2025-12-02T22:06:38.967085,10.98490971070946,24.5,77.8,0.48,False
sensor_2,2025-12-02T22:06:40.225829,49.18203480470985,23.4,51.2,0.0,False
sensor_3,2025-12-02T22:06:41.298618,59.457918786774876,19.5,45.5,0.0,False
sensor_1,2025-12-02T22:06:42.309297,26.015671919007463,27.1,80.6,0.0,False
sensor_2,2025-12-02T22:06:43.262418,55.72065451653884,29.8,85.0,0.45,False
sensor_3,2025-12-02T22:06:44.600773,5.751837960799968,20.1,43.6,1.34,False
sensor_1,2025-12-02T22:06:45.118678,51.2568662433761,34.6,73.2,0.23,True
sensor_2,2025-12-02T22:06:46.007746,43.85283796640228,20.2,73.8,0.0,False
sensor_3,2025-12-02T22:06:47.368246,39.35727586109181,30.0,61.8,1.03,True
sensor_1,2025-12-02T22:06:48.079400,48.33442563844396,30.6,88.0,1.06,False
sensor_2,2025-12-02T22:06:49.392713,31.811974208290835,25.9,76.5,1.21,False
sensor_3,2025-12-02T22:06:50.220403,26.477352727423153,32.6,73.7,0.09,True
sensor_1,2025-12-02T22:06:50.879725,20.8752093305424,26.8,71.9,0.0,False
sensor_2,2025-12-02T22:06:52.113418,4.172772970781651,27.4,62.8,0.77,False
sensor_3,2025-12-02T22:06:53.345077,34.05346618142444,30.5,41.0,0.0,False
sensor_1,2025-12-02T22:06:54.633591,41.26579113909126,29.7,64.0,0.0,True
sensor_2,2025-12-02T22:06:55.679932,49.01036847945245,26.2,72.9,0.05,True
sensor_3,2025-12-02T22:06:56.503236,66.7466187389058,21.4,43.6,0.0,True
sensor_1,2025-12-02T22:06:57.882016,54.0406680897863,29.2,50.9,0.99,False
sensor_2,2025-12-02T22:06:58.720355,54.483194685319695,22.2,65.7,0.28,False
sensor_3,2025-12-02T22:06:59.641423,31.85234613919382,23.6,30.0,0.0,False
sensor_1,2025-12-02T22:07:01.017324,44.96258494598527,32.5,78.2,1.53,False
sensor_2,2025-12-02T22:07:02.514817,33.185925719473516,24.6,83.9,0.0,True
sensor_3,2025-12-02T22:07:03.226812,46.09019046090836,19.2,82.7,0.25,False
sensor_1,2025-12-02T22:07:04.288716,63.80223450822428,23.1,40.9,1.15,False
sensor_2,2025-12-02T22:07:05.270966,41.7674001186345,27.6,37.2,0.05,False
sensor_3,2025-12-02T22:07:06.505006,33.15745749439457,14.4,88.5,0.64,False
sensor_1,2025-12-02T22:07:07.278052,37.842063463179045,25.9,37.9,0.0,True
sensor_2,2025-12-02T22:07:08.250940,11.893961784664615,27.2,81.1,0.92,False
sensor_3,2025-12-02T22:07:08.871596,56.994383066397766,20.6,39.8,0.73,False
sensor_1,2025-12-02T22:07:09.770864,44.28826904658053,25.6,71.4,0.0,True
sensor_2,2025-12-02T22:07:10.746049,40.52719594737038,27.8,50.3,0.0,False
sensor_3,2025-12-02T22:07:12.176230,57.336392900755655,17.4,69.8,1.09,True
sensor_1,2025-12-02T22:07:13.192134,32.64945641082108,20.4,36.8,0.25,False
sensor_2,2025-12-02T22:07:14.141048,20.165797767470554,27.4,35.3,0.0,True
sensor_3,2025-12-02T22:07:15.347168,57.83338855240768,36.9,62.6,0.0,False
sensor_1,2025-12-02T22:07:16.036229,20.99672503768796,28.3,52.2,0.0,False
sensor_2,2025-12-02T22:07:16.620601,69.16429306110331,21.5,46.9,0.72,False
sensor_3,2025-12-02T22:07:17.877930,36.70557805759017,12.3,59.0,0.37,False
sensor_1,2025-12-02T22:07:19.002145,60.848054010293396,20.4,63.1,0.71,False
sensor_2,2025-12-02T22:07:20.270468,22.308596593293277,19.0,79.1,0.36,False
sensor_3,2025-12-02T22:07:20.948527,46.43767832462277,29.4,59.0,0.96,False
sensor_1,2025-12-02T22:07:21.633199,66.03711921520114,23.1,39.2,0.53,False
sensor_2,2025-12-02T22:07:23.043064,21.034763360618797,28.4,54.0,0.5,False
sensor_3,2025-12-02T22:07:24.094904,27.60131726067387,30.9,48.4,0.55,False
sensor_1,2025-12-02T22:07:25.060980,30.719155751230176,15.4,76.0,0.04,True
sensor_2,2025-12-02T22:07:26.386336,51.02421155655201,20.0,39.7,0.0,False
sensor_3,2025-12-02T22:07:27.750380,44.50279945913418,23.3,38.1,0.46,False
sensor_1,2025-12-02T22:07:28.296294,47.96675724794126,25.0,72.5,0.0,False
sensor_2,2025-12-02T22:07:28.907501,40.12085619178791,30.0,69.2,0.65,False
sensor_3,2025-12-02T22:07:30.339028,33.54495169965016,21.5,64.8,0.54,True
sensor_1,2025-12-02T22:07:31.830154,29.53816919210314,26.5,45.2,0.13,False
sensor_2,2025-12-02T22:07:32.820291,44.314144966700944,24.5,65.9,0.0,False
sensor_3,2025-12-02T22:07:33.587161,77.71326842676143,18.6,68.3,1.58,False
sensor_1,2025-12-02T22:07:35.063461,41.025622162188796,33.4,81.1,0.94,False
sensor_2,2025-12-02T22:07:35.598081,43.1591724189851,31.6,34.2,0.0,False
sensor_3,2025-12-02T22:07:36.408377,58.478052269416494,18.1,35.8,0.42,True
sensor_1,2025-12-02T22:07:37.452404,35.3194890434727,19.0,50.9,0.02,False
sensor_2,2025-12-02T22:07:38.647613,38.89263627040481,28.5,33.2,0.0,False
sensor_3,2025-12-02T22:07:39.680625,53.5526633997739,25.0,80.9,1.17,False
sensor_1,2025-12-02T22:07:41.060337,53.21874565393527,21.4,78.1,0.0,False
sensor_2,2025-12-02T22:07:42.080577,20.898399963436876,30.0,66.3,0.75,False
sensor_3,2025-12-02T22:07:43.181242,30.586918641431716,27.1,68.5,0.0,False
sensor_1,2025-12-02T22:07:44.196067,71.34672492617702,29.1,76.9,0.38,False
sensor_2,2025-12-02T22:07:45.596407,65.68122589054119,27.5,63.2,0.45,False
sensor_3,2025-12-02T22:07:47.059521,42.259170540990695,28.9,88.3,0.0,True
sensor_1,2025-12-02T22:07:47.635869,40.23620044202637,25.0,58.8,0.86,False
sensor_2,2025-12-02T22:07:48.732114,58.823039677933,24.6,37.8,0.0,False
sensor_3,2025-12-02T22:07:50.095386,58.07400323726365,16.2,79.9,0.59,False
sensor_1,2025-12-02T22:07:51.515030,44.730457838273374,14.7,55.7,0.0,True
sensor_2,2025-12-02T22:07:53.010721,54.99354318357881,27.6,32.0,0.7,False
sensor_3,2025-12-02T22:07:53.678518,55.91656534016856,28.6,42.0,0.0,False
sensor_1,2025-12-02T22:07:54.488608,57.85417993041152,20.3,71.3,0.65,False
sensor_2,2025-12-02T22:07:55.237426,31.80267681420449,24.2,49.0,0.17,True
sensor_3,2025-12-02T22:07:55.991078,40.700881573035794,36.0,45.0,0.04,False
sensor_1,2025-12-02T22:07:57.455275,55.2234063298193,34.0,78.0,0.54,False
sensor_2,2025-12-02T22:07:58.319464,47.056107541428,25.2,47.0,0.08,False
sensor_3,2025-12-02T22:07:59.035196,47.30888823049028,23.0,74.2,0.8,False
sensor_1,2025-12-02T22:07:59.755499,26.594051427749225,32.6,72.5,0.58,True
sensor_2,2025-12-02T22:08:01.255631,57.811732722067845,25.8,86.2,1.12,False
sensor_3,2025-12-02T22:08:02.317172,42.60070580320168,18.0,69.4,0.0,False
sensor_1,2025-12-02T22:08:03.663327,29.593202038199813,29.2,77.2,0.33,False
sensor_2,2025-12-02T22:08:04.355156,62.507669230620365,23.8,82.5,0.0,True
sensor_3,2025-12-02T22:08:05.189959,60.79640398579016,14.6,63.1,1.0,False
sensor_1,2025-12-02T22:08:06.620809,44.909891470560915,22.4,74.0,0.0,False
sensor_2,2025-12-02T22:08:07.432211,37.429106302521355,29.1,35.3,0.34,False
sensor_3,2025-12-02T22:08:08.133980,26.224976061887276,29.6,39.9,0.46,False
sensor_1,2025-12-02T22:08:09.477140,54.563198713170685,22.5,41.0,0.56,False
sensor_2,2025-12-02T22:08:10.391197,70.5034195603321,29.9,30.3,0.14,True
sensor_3,2025-12-02T22:08:11.499247,25.66405369880566,27.2,87.1,0.53,False
sensor_1,2025-12-02T22:08:12.876913,52.353763799008256,30.4,51.4,0.32,False
sensor_2,2025-12-02T22:08:13.895860,53.37603532556795,26.7,66.8,1.45,True
sensor_3,2025-12-02T22:08:14.608390,23.968875099689587,28.2,87.6,0.78,False
sensor_1,2025-12-02T22:08:16.060563,47.77560029090728,27.8,36.8,0.25,False
sensor_2,2025-12-02T22:08:17.263267,39.79190528401582,27.5,46.5,0.0,False
sensor_3,2025-12-02T22:08:18.051664,48.87741985783825,24.2,57.6,0.56,True
sensor_1,2025-12-02T22:08:19.007580,52.75928987429745,19.7,56.7,0.16,True
sensor_2,2025-12-02T22:08:20.366190,28.66026238955186,28.5,70.1,0.0,False
sensor_3,2025-12-02T22:08:21.425331,32.862710026473266,29.1,77.4,0.0,False
sensor_1,2025-12-02T22:08:22.367821,38.174109469663804,24.7,63.3,0.0,False
sensor_2,2025-12-02T22:08:23.435365,39.53317163137288,25.8,68.7,1.1,True
sensor_3,2025-12-02T22:08:24.675111,41.185375017277416,18.9,47.2,0.54,False
sensor_1,2025-12-02T22:08:25.577706,36.50442056037565,24.9,32.7,0.0,True
sensor_2,2025-12-02T22:08:26.837341,10.104210850140454,30.4,86.9,0.0,False
sensor_3,2025-12-02T22:08:28.030335,41.238766709816396,18.6,59.8,0.0,True
sensor_1,2025-12-02T22:08:29.326285,45.68855449572801,23.0,65.4,0.03,True
sensor_2,2025-12-02T22:08:30.286013,36.302690937707695,28.1,47.4,0.0,True
sensor_3,2025-12-02T22:08:31.333250,43.47780094006629,21.5,64.4,0.72,True
sensor_1,2025-12-02T22:08:31.852932,38.79656678330274,27.5,43.0,0.71,True
sensor_2,2025-12-02T22:08:32.392954,36.74698504572754,30.9,85.6,0.0,False
sensor_3,2025-12-02T22:08:33.235698,52.116618059742166,13.3,46.3,0.02,True
sensor_1,2025-12-02T22:08:34.044382,11.266758729248576,22.6,56.3,0.26,False
sensor_2,2025-12-02T22:08:34.713873,51.866085380928865,24.5,74.8,0.61,False
sensor_3,2025-12-02T22:08:35.468245,48.914887912722726,29.9,86.0,0.15,True
sensor_1,2025-12-02T22:08:36.077098,32.46100736301902,23.5,86.5,1.71,False
sensor_2,2025-12-02T22:08:37.000648,56.40848732658783,20.3,53.8,0.13,True
sensor_3,2025-12-02T22:08:38.175484,37.847731188595006,24.9,52.1,0.0,False
sensor_1,2025-12-02T22:08:38.691355,41.4494219521128,24.7,33.2,0.0,False
sensor_2,2025-12-02T22:08:40.077663,37.82031710721324,25.6,72.6,0.0,False
sensor_3,2025-12-02T22:08:41.156299,37.98445366966632,23.2,49.6,1.27,False
sensor_1,2025-12-02T22:08:42.478102,72.73623340781329,24.7,56.4,0.0,False
sensor_2,2025-12-02T22:08:43.845232,45.50083206582346,22.4,42.5,0.78,False
sensor_3,2025-12-02T22:08:44.648173,24.524205305119718,32.9,40.8,0.0,False
sensor_1,2025-12-02T22:08:45.784828,56.94001267248548,23.8,76.5,0.0,False
sensor_2,2025-12-02T22:08:46.785639,33.44003255958207,25.5,30.1,0.0,True
sensor_3,2025-12-02T22:08:48.066539,34.07702295950547,29.3,73.9,0.0,False
sensor_1,2025-12-02T22:08:48.572933,51.53445828496765,16.4,33.4,0.88,False
sensor_2,2025-12-02T22:08:49.675389,53.42624307940305,26.7,42.6,0.0,False
sensor_3,2025-12-02T22:08:51.082723,25.462027764713238,24.3,87.0,0.0,True
sensor_1,2025-12-02T22:08:51.803463,61.504659298864894,26.6,55.2,0.09,False
sensor_2,2025-12-02T22:08:53.063694,55.71402350683197,23.0,71.5,0.3,False
sensor_3,2025-12-02T22:08:54.148274,64.3327841116517,28.3,40.4,0.0,False
sensor_1,2025-12-02T22:08:55.231966,31.548486382356216,22.0,46.0,0.74,False
sensor_2,2025-12-02T22:08:56.075591,22.80297475936682,25.0,73.6,0.0,True
sensor_3,2025-12-02T22:08:56.870718,55.038367653123466,18.5,75.2,0.62,True
sensor_1,2025-12-02T22:08:57.848775,65.88947952325896,28.4,88.6,0.0,False
sensor_2,2025-12-02T22:08:59.063672,33.599071269887645,24.9,83.5,0.46,False
sensor_3,2025-12-02T22:08:59.657969,32.195931007851605,25.9,87.9,0.0,False
sensor_1,2025-12-02T22:09:00.449855,29.67742390639308,31.2,52.2,0.21,True
sensor_2,2025-12-02T22:09:01.349233,44.351694756711666,18.4,59.1,0.29,False
sensor_3,2025-12-02T22:09:02.267050,57.83955386332043,18.6,55.6,0.0,False
sensor_1,2025-12-02T22:09:03.076197,41.73604232652778,23.3,86.7,0.8,False
sensor_2,2025-12-02T22:09:04.469683,12.431485895914115,32.4,70.6,0.0,True
sensor_3,2025-12-02T22:09:05.608893,18.953664301260886,22.0,48.8,0.0,True
sensor_1,2025-12-02T22:09:07.024996,44.65405038828528,24.5,55.2,0.16,True
sensor_2,2025-12-02T22:09:07.562470,35.1039218656993,24.1,61.9,0.58,False
sensor_3,2025-12-02T22:09:08.279564,48.552831033837975,37.7,55.1,0.57,False
sensor_1,2025-12-02T22:09:08.870022,41.665497022185065,29.2,38.3,0.0,True
sensor_2,2025-12-02T22:09:09.999532,53.25645575830482,21.3,35.1,0.43,False
sensor_3,2025-12-02T22:09:11.375843,67.29912587216032,41.3,46.5,0.0,True
sensor_1,2025-12-02T22:09:11.923819,60.73953147433193,24.3,89.1,1.34,True
sensor_2,2025-12-02T22:09:12.794831,32.09075738799981,16.2,59.1,0.69,False
sensor_3,2025-12-02T22:09:14.191932,43.768466918534834,31.1,39.6,0.0,False
sensor_1,2025-12-02T22:09:15.442452,8.70218761891961,18.4,70.3,0.0,False
sensor_2,2025-12-02T22:09:16.483415,37.97075461639985,25.4,60.1,0.0,False
sensor_3,2025-12-02T22:09:17.630935,38.326303962400964,23.0,30.9,0.44,False
sensor_1,2025-12-02T22:09:18.750417,27.881959767881057,22.4,86.8,0.07,False
sensor_2,2025-12-02T22:09:19.990303,21.52835822156637,19.0,35.6,0.48,False
sensor_3,2025-12-02T22:09:20.834985,50.81784076588369,24.7,55.7,1.05,False
sensor_1,2025-12-02T22:09:21.490339,51.86576484803988,19.9,71.3,0.89,False
sensor_2,2025-12-02T22:09:22.966705,32.436852868019564,24.6,47.0,0.12,False
sensor_3,2025-12-02T22:09:24.114245,55.369537501785274,25.4,31.3,0.85,False
sensor_1,2025-12-02T22:09:25.280754,62.07046984161672,23.9,63.9,0.32,False
sensor_2,2025-12-02T22:09:26.005553,52.74923549552902,20.3,56.6,0.44,False
sensor_3,2025-12-02T22:09:27.491625,40.69781781088382,28.5,71.9,0.53,True
sensor_1,2025-12-02T22:09:28.983793,54.729454390302536,21.6,83.7,0.0,False
sensor_2,2025-12-02T22:09:29.508880,32.5872940383832,30.7,87.0,0.0,False
sensor_3,2025-12-02T22:09:30.286522,46.35594037772466,26.7,85.6,0.0,False
sensor_1,2025-12-02T22:09:30.930331,50.45313023867088,33.0,49.2,0.23,True
sensor_2,2025-12-02T22:09:32.257985,30.780488882685496,25.8,68.8,0.0,True
sensor_3,2025-12-02T22:09:32.904518,33.38694560753247,27.3,51.9,0.18,True
sensor_1,2025-12-02T22:09:33.513044,35.74184004300054,20.9,68.0,0.18,False
sensor_2,2025-12-02T22:09:34.661337,73.25372019891351,16.9,75.2,0.41,False
sensor_3,2025-12-02T22:09:35.960214,8.292433038410532,22.1,38.4,0.55,False
sensor_1,2025-12-02T22:09:37.322396,46.08910491923374,25.7,82.8,0.0,True
sensor_2,2025-12-02T22:09:37.912757,38.46635317461003,26.1,42.1,0.31,True
sensor_3,2025-12-02T22:09:39.146753,22.71544253369155,24.7,80.5,0.0,False
sensor_1,2025-12-02T22:09:40.011164,49.585630324006196,19.6,58.8,0.59,True
sensor_2,2025-12-02T22:09:40.700396,25.185626138975998,16.4,56.9,0.1,False
sensor_3,2025-12-02T22:09:42.083547,58.45035271437409,26.7,76.2,0.22,False
sensor_1,2025-12-02T22:09:42.917858,44.933445852993316,20.0,36.6,0.0,True
sensor_2,2025-12-02T22:09:43.544468,51.14520758292594,25.0,41.1,0.47,False
sensor_3,2025-12-02T22:09:44.207770,45.28747176379025,24.5,58.3,0.0,False
sensor_1,2025-12-02T22:09:45.359561,48.89606505338806,31.8,85.4,0.67,False
sensor_2,2025-12-02T22:09:46.145440,46.724798506817876,26.2,42.1,0.15,False
sensor_3,2025-12-02T22:09:47.484951,55.31446238432966,24.3,69.7,0.61,False
sensor_1,2025-12-02T22:09:48.056639,54.69788161132188,25.4,74.4,0.52,True
sensor_2,2025-12-02T22:09:48.679749,55.46595407937693,31.0,49.9,1.03,True
sensor_3,2025-12-02T22:09:50.021146,36.6782876789201,24.6,86.8,0.0,False
sensor_1,2025-12-02T22:09:51.124102,51.12152921719414,25.9,51.3,0.37,False
sensor_2,2025-12-02T22:09:52.210438,57.070548143503544,29.6,73.5,0.0,False
sensor_3,2025-12-02T22:09:53.196459,29.8254847693567,26.3,40.6,0.04,False
sensor_1,2025-12-02T22:09:54.678095,72.16181884060546,32.5,59.1,0.55,True
sensor_2,2025-12-02T22:09:55.722796,30.4814238394688,24.3,62.8,0.22,False
sensor_3,2025-12-02T22:09:56.585912,28.478152617636358,24.5,69.1,0.41,False
sensor_1,2025-12-02T22:09:57.137647,39.48311486845699,33.7,36.1,0.0,False
sensor_2,2025-12-02T22:09:58.084816,19.27257278026465,36.0,37.1,0.0,False
sensor_3,2025-12-02T22:09:59.586415,47.30088273036368,28.7,73.8,0.0,True
sensor_1,2025-12-02T22:10:01.081734,32.57711723104647,21.6,54.1,0.0,False
sensor_2,2025-12-02T22:10:01.771693,50.255837067360375,22.9,64.6,0.0,False
sensor_3,2025-12-02T22:10:02.919990,55.131227545890255,22.1,41.5,0.0,False
sensor_1,2025-12-02T22:10:04.418175,51.13234838119089,30.2,69.7,0.11,False
sensor_2,2025-12-02T22:10:05.467861,42.270796491978885,28.3,42.1,0.8,False
sensor_3,2025-12-02T22:10:06.711917,40.49701593415126,23.6,38.0,0.0,True
sensor_1,2025-12-02T22:10:07.256951,63.183166348458634,30.4,44.0,0.72,False
sensor_2,2025-12-02T22:10:08.645699,65.5118938727207,19.1,46.4,0.66,False
sensor_3,2025-12-02T22:10:09.475629,46.7288936326609,28.1,30.9,0.0,False
sensor_1,2025-12-02T22:10:10.901491,49.01712417009278,28.4,72.2,0.68,True
sensor_2,2025-12-02T22:10:11.533174,30.87553638550485,17.8,86.6,1.17,False
sensor_3,2025-12-02T22:10:12.418674,28.798041126497967,30.3,60.7,0.94,False
sensor_1,2025-12-02T22:10:13.444223,30.701198761111396,22.7,41.7,0.0,False
sensor_2,2025-12-02T22:10:14.156869,52.80173390962732,34.5,58.0,0.42,False
sensor_3,2025-12-02T22:10:15.352044,52.29022053841544,21.5,39.5,0.26,False
sensor_1,2025-12-02T22:10:16.487688,24.901187063686056,24.3,47.5,0.58,False
sensor_2,2025-12-02T22:10:17.256930,7.9751038431885135,29.9,75.1,0.94,False
sensor_3,2025-12-02T22:10:17.806091,8.038176632257603,26.1,77.8,0.18,False
sensor_1,2025-12-02T22:10:18.461540,68.29914699541679,23.5,63.4,0.0,False
sensor_2,2025-12-02T22:10:19.031758,24.93448756846068,28.2,83.1,0.0,True
sensor_3,2025-12-02T22:10:19.916744,33.0351386344563,35.9,80.1,0.41,False
sensor_1,2025-12-02T22:10:20.757488,34.460427328017005,12.6,82.1,0.75,False
sensor_2,2025-12-02T22:10:21.504336,36.38718380126077,26.2,34.6,1.01,False
sensor_3,2025-12-02T22:10:22.722811,31.482027664424457,22.3,75.4,0.86,False
sensor_1,2025-12-02T22:10:23.524346,47.08986193052913,23.7,67.5,1.04,False
sensor_2,2025-12-02T22:10:24.238400,33.73050701435549,19.6,45.1,0.03,True
sensor_3,2025-12-02T22:10:25.225634,42.807635269701194,23.8,44.1,0.87,False
sensor_1,2025-12-02T22:10:26.178462,25.40563272948447,23.0,54.4,0.0,False
sensor_2,2025-12-02T22:10:26.684329,25.86429566630119,18.3,87.6,0.11,False
sensor_3,2025-12-02T22:10:27.826194,41.66991090149992,23.3,49.4,0.27,False
sensor_1,2025-12-02T22:10:29.247873,43.4190852766489,34.0,55.1,0.0,True
sensor_2,2025-12-02T22:10:30.673861,16.204833906672974,17.4,78.7,0.5,False
sensor_3,2025-12-02T22:10:31.518966,33.09214154651207,23.1,74.1,0.96,False
sensor_1,2025-12-02T22:10:32.669484,38.16599841320599,21.7,53.4,0.56,False
sensor_2,2025-12-02T22:10:33.883140,29.12223372223679,30.2,46.4,0.22,True
sensor_3,2025-12-02T22:10:35.006227,43.51460514232174,36.7,59.5,0.0,True
sensor_1,2025-12-02T22:10:35.647611,38.66901595951225,30.7,47.9,0.12,False
