sensor_id,ts,soil_moisture,temperature,humidity,rainfall,irrigation_needed
sensor_1,2025-12-07T01:05:19.951801+00:00,32.31018291499343,21.9,41.4,0.07,False
sensor_2,2025-12-07T01:05:21.169053+00:00,55.297350604211054,26.4,53.8,0.35,False
sensor_3,2025-12-07T01:05:21.844528+00:00,53.396941264695606,29.3,32.9,0.0,False
sensor_1,2025-12-07T01:05:23.008602+00:00,57.471031240533165,26.0,40.0,0.0,False
sensor_2,2025-12-07T01:05:23.766351+00:00,24.430873912839125,18.0,39.9,0.41,True
sensor_3,2025-12-07T01:05:24.397081+00:00,47.894142058503014,29.4,87.9,0.0,False
sensor_1,2025-12-07T01:05:25.748541+00:00,50.951639074670744,28.7,44.6,0.28,False
sensor_2,2025-12-07T01:05:27.243302+00:00,15.157461324989193,20.8,37.4,0.42,True
sensor_3,2025-12-07T01:05:28.563093+00:00,53.63471428775455,31.7,78.7,0.57,False
sensor_1,2025-12-07T01:05:29.451053+00:00,45.97806482401127,27.3,40.2,1.16,False
sensor_2,2025-12-07T01:05:30.920589+00:00,17.02858629387991,19.3,67.1,1.46,False
sensor_3,2025-12-07T01:05:32.159116+00:00,31.612840821494437,26.7,90.0,1.09,False
sensor_1,2025-12-07T01:05:32.742227+00:00,31.70243254189435,18.2,78.6,0.0,False
sensor_2,2025-12-07T01:05:34.219606+00:00,83.98550237713296,27.8,46.8,0.0,False
sensor_3,2025-12-07T01:05:35.722604+00:00,49.20238228532419,19.3,83.2,0.0,False
sensor_1,2025-12-07T01:05:37.163762+00:00,42.43638963891344,30.2,32.0,0.07,False
sensor_2,2025-12-07T01:05:37.839562+00:00,51.460080695937876,25.8,45.0,0.82,False
sensor_3,2025-12-07T01:05:39.271798+00:00,34.79987085919911,22.8,77.3,1.37,False
sensor_1,2025-12-07T01:05:40.180210+00:00,31.13303687686544,31.9,62.3,0.97,False
sensor_2,2025-12-07T01:05:40.862639+00:00,6.266294288536876,32.5,74.7,0.43,True
sensor_3,2025-12-07T01:05:41.731395+00:00,23.539618590171987,25.8,74.8,2.14,False
sensor_1,2025-12-07T01:05:42.823495+00:00,33.109207134972834,27.3,85.0,0.03,False
sensor_2,2025-12-07T01:05:43.326622+00:00,16.03639617044553,31.1,32.0,0.93,False
sensor_3,2025-12-07T01:05:44.075502+00:00,17.75869339791914,17.2,34.3,0.0,True
sensor_1,2025-12-07T01:05:45.282021+00:00,29.406827095562193,20.5,34.7,0.0,True
sensor_2,2025-12-07T01:05:46.378925+00:00,55.72368449726678,26.2,59.8,0.0,False
sensor_3,2025-12-07T01:05:47.816450+00:00,46.85802574979624,29.5,71.5,0.0,False
sensor_1,2025-12-07T01:05:49.160497+00:00,24.259849970733878,20.8,87.5,0.13,True
sensor_2,2025-12-07T01:05:49.936569+00:00,33.19961093073068,22.6,83.7,0.01,False
sensor_3,2025-12-07T01:05:51.195922+00:00,34.52647362897496,17.9,50.1,0.86,False
sensor_1,2025-12-07T01:05:52.268466+00:00,40.62819828054042,27.5,89.5,0.05,False
sensor_2,2025-12-07T01:05:53.708910+00:00,37.25762747647753,32.1,59.6,0.39,False
sensor_3,2025-12-07T01:05:55.210723+00:00,14.819949980774325,23.5,76.8,0.47,True
sensor_1,2025-12-07T01:05:56.001247+00:00,32.609047377934246,23.7,56.4,0.0,False
sensor_2,2025-12-07T01:05:57.073092+00:00,26.363934476206225,23.3,83.6,0.09,True
sensor_3,2025-12-07T01:05:58.384365+00:00,47.59287124849161,29.0,48.1,0.51,False
sensor_1,2025-12-07T01:05:59.796654+00:00,52.78789935085244,32.0,51.2,0.47,False
sensor_2,2025-12-07T01:06:00.737228+00:00,15.985623129890076,29.3,44.0,0.0,True
sensor_3,2025-12-07T01:06:01.243017+00:00,32.59974024284136,31.0,77.9,0.0,False
sensor_1,2025-12-07T01:06:01.864759+00:00,22.237986762078165,33.5,56.6,0.0,True
sensor_2,2025-12-07T01:06:02.373140+00:00,36.636793557349314,25.3,50.8,0.0,False
sensor_3,2025-12-07T01:06:02.940348+00:00,43.17597247987024,29.4,78.6,0.07,False
